suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,2048,0.012696
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,4096,0.021009
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,8192,0.038768
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,16384,0.073901
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,32768,0.143887
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,65536,0.284380
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,131072,0.565525
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,262144,1.127229
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,524288,2.250848
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,1048576,4.496850
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,256,0.005692
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,512,0.008152
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,1024,0.009074
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,2048,0.014928
